,match_id,date,season,venue,Team1,Team2,toss_winner,toss_decision,player_of_match,Winner,stage,innings,Team 1 Score,Team 2 Score,Won by ,year,month
0,335982,2008-04-18,2007/08,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,BB McCullum,Kolkata Knight Riders,Unknown,2,82,223.0,140 runs,2008,4
1,335983,2008-04-19,2007/08,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,MEK Hussey,Chennai Super Kings,Unknown,2,207,241.0,33 runs,2008,4
2,335984,2008-04-19,2007/08,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,MF Maharoof,Delhi Capitals,Unknown,2,132,130.0,9 wickets,2008,4
3,335985,2008-04-20,2007/08,Wankhede Stadium,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,bat,MV Boucher,Royal Challengers Bengaluru,Unknown,2,166,166.0,5 wickets,2008,4
4,335986,2008-04-20,2007/08,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,DJ Hussey,Kolkata Knight Riders,Unknown,2,112,111.0,5 wickets,2008,4
5,335987,2008-04-21,2007/08,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,SR Watson,Rajasthan Royals,Unknown,2,168,167.0,6 wickets,2008,4
6,335988,2008-04-22,2007/08,"Rajiv Gandhi International Stadium, Uppal",Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,V Sehwag,Delhi Capitals,Unknown,2,143,143.0,9 wickets,2008,4
7,335989,2008-04-23,2007/08,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,ML Hayden,Chennai Super Kings,Unknown,2,202,209.0,6 runs,2008,4
8,335990,2008-04-24,2007/08,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,YK Pathan,Rajasthan Royals,Unknown,2,217,215.0,3 wickets,2008,4
9,335991,2008-04-25,2007/08,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Punjab Kings,Mumbai Indians,field,KC Sangakkara,Punjab Kings,Unknown,2,116,183.0,66 runs,2008,4
